Sample_ID,Latitude,Longitude,Depth_cm,Moisture,Temperature,Timestamp
1,27.59506,-97.89397,5,9,23,2026 
2,27.59505,-97.89222,5,7,23,2026 
3,27.59572,-97.89357,5,10,23,2026 
4,27.59578,-97.89339,5,11,23,2026 
5,27.59538,-97.89216,5,8,23,2026 
6,27.5964,-97.89269,5,18,23,2026 
7,27.59469,-97.89278,5,10,23,2026 
8,27.59625,-97.89193,5,15,23,2026 
9,27.59675,-97.89415,5,12,23,2026 
10,27.59693,-97.8932,5,13,23,2026 
11,27.59577,-97.89288,5,13,23,2026 
12,27.59613,-97.89477,5,9,23,2026 
13,27.59641,-97.89375,5,14,23,2026 
14,27.59702,-97.89211,5,15,23,2026 
15,27.59593,-97.89164,5,9,23,2026
